,display_id,ad_id,clicked,ad_document_id,campaign_id,advertiser_id,uuid,event_document_id,platform_x,geo_location_x,source_id_admeta,publisher_id_x,source_id_eventmeta,publisher_id_y,document_id_x,category_id,confidence_level,document_id_ent,entity_id,confidence_level_ent,document_id_y,timestamp,platform_y,geo_location_y,traffic_source,time_diff,new_session,publish_time_admeta_ts,publish_time_admeta_year,publish_time_admeta_month,publish_time_eventmeta_ts,publish_time_eventmeta_year,publish_time_eventmeta_month,event_timestamp_ts
0,524,1995,0,1718,1407,178,0,256,1,126,325,0,0,0,1719,9,0.648105684,0,5105,0.0,0,0,0,62,0,0.0,1,799,13,4,0,0,0,38
1,524,1995,0,1718,1407,178,0,256,1,126,325,0,0,0,1719,13,0.049312389,0,5105,0.0,0,0,0,62,0,0.0,0,799,13,4,0,0,0,38
2,524,3046,0,1248,1985,588,0,256,1,126,776,0,0,0,1249,70,0.856383564,0,5105,0.0,0,0,0,62,0,0.0,0,0,0,0,0,0,0,38
3,524,3046,0,1248,1985,588,0,256,1,126,776,0,0,0,1249,33,0.065159619,0,5105,0.0,0,0,0,62,0,0.0,0,0,0,0,0,0,0,38
4,524,3208,0,2270,2085,495,0,256,1,126,498,0,0,0,2270,5,0.626674192,1866,2166,0.28326648115835473,0,0,0,62,0,0.0,0,0,0,0,0,0,0,38
5,524,3208,0,2270,2085,495,0,256,1,126,498,0,0,0,2270,27,0.047681732,1866,2166,0.28326648115835473,0,0,0,62,0,0.0,0,0,0,0,0,0,0,38
6,524,3351,1,1363,2142,611,0,256,1,126,795,0,0,0,1364,33,1.0,1117,1958,0.9302368464809552,0,0,0,62,0,0.0,0,0,0,0,0,0,0,38
7,524,3351,1,1363,2142,611,0,256,1,126,795,0,0,0,1364,33,1.0,1117,4498,0.21720716279871957,0,0,0,62,0,0.0,0,0,0,0,0,0,0,38
8,1251,1023,1,1119,900,401,1,126,1,99,550,0,0,0,1120,29,0.92,910,4505,0.42254491338021816,4,70,2,15,1,0.0,1,494,12,11,0,0,0,87
9,1251,1023,1,1119,900,401,1,126,1,99,550,0,0,0,1120,29,0.92,910,1031,0.3008801196160595,4,70,2,15,1,0.0,0,494,12,11,0,0,0,87
10,1251,1023,1,1119,900,401,1,126,1,99,550,0,0,0,1120,31,0.07,910,4505,0.42254491338021816,4,70,2,15,1,0.0,0,494,12,11,0,0,0,87
11,1251,1023,1,1119,900,401,1,126,1,99,550,0,0,0,1120,31,0.07,910,1031,0.3008801196160595,4,70,2,15,1,0.0,0,494,12,11,0,0,0,87
12,1251,2668,0,1899,1806,613,1,126,1,99,144,0,0,0,1900,33,1.0,0,5105,0.0,4,70,2,15,1,0.0,0,0,0,0,0,0,0,87
